 "Question","Answer","Tag"
"What are the main pricing options available for Amazon EC2 instances?","The main pricing options for Amazon EC2 are On-Demand Instances, Reserved Instances, Spot Instances, and Dedicated Hosts.","EC2-Pricing"
"What are On-Demand Instances in Amazon EC2?","On-Demand Instances let you pay for compute capacity by the hour or the second (minimum of 60 seconds) with no long-term commitments.","EC2-Pricing"
"How do Reserved Instances differ from On-Demand Instances?","Reserved Instances provide a capacity reservation, offering a significant discount over the hourly charge for an instance. Contract terms are available for 1 or 3 years.","EC2-Pricing"
"What are Amazon EC2 Spot Instances?","Spot Instances allow you to request spare Amazon EC2 computing capacity for up to 90% off the On-Demand price.","EC2-Pricing"
"What is an EC2 Dedicated Host?","An EC2 Dedicated Host is a physical server with EC2 instance capacity fully dedicated to your use, allowing you to use your existing server-bound software licenses.","EC2-Pricing"
"What is the benefit of using Amazon EC2 Reserved Instances?","Reserved Instances provide a discount (up to 75%) compared to On-Demand instance pricing and are best suited for steady-state usage.","EC2-Pricing"
"What happens if your application is interrupted in Spot Instances?","If your Spot Instance is interrupted by Amazon EC2, you will not be charged for the partial hour of usage. However, if you terminate the instance yourself, you will be charged for any hour in which the instance ran.","EC2-Pricing"
"Can you change the instance type of a Reserved Instance?","Yes, you can modify the instance size within the same instance family for Reserved Instances.","EC2-Pricing"
"Are there any additional costs associated with Amazon EC2 beyond instance prices?","Yes, other costs include data transfer fees, EBS storage, and any additional services such as Elastic IP addresses or Elastic Load Balancing.","EC2-Pricing"
"How does AWS charge for idle Elastic IP addresses?","AWS charges a small hourly fee for each Elastic IP address that is allocated but not associated with a running instance.","EC2-Pricing"
"What is the AWS Free Tier for Amazon EC2?","The AWS Free Tier includes 750 hours of Linux and Windows t2.micro instances each month for one year for new AWS customers.","EC2-Pricing"
